brand,name,price,image,link
Louis Vuitton,LOUIS VUITTON Calfskin Monogram Shadow Discovery Bumbag PM Black Excellent Est. Retail 29% below retail,1650,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/6c9ed2bed8e541f216a47de26798269d_f17147b9-8ced-4e73-b5b5-9c0c1fd8a94f.jpg?v=1778627160&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/louis-vuitton-calfskin-monogram-shadow-discovery-bumbag-pm-black-1882127
Chanel,CHANEL Caviar Stitched Jumbo Single Flap Orange Shows Wear Est. Retail 83% below retail,1990,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/3801b6d192990c70b6db7b093c231adb.jpg?v=1767860430&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-caviar-stitched-jumbo-single-flap-orange-1740584
Chanel,CHANEL Caviar Quilted Medium CC Filigree Vanity Case Black Shows Wear Est. Retail 29% below retail,3250,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/1887a45e3fb96a47356f780cee120dc1.jpg?v=1764847292&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-caviar-quilted-medium-cc-filigree-vanity-case-black-1753576
Prada,PRADA Saffiano Lux Re-Edition 2005 Mini Shoulder Bag Celeste Excellent Est. Retail 33% below retail,1850,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/4147edff577b8dbe8129cd1c841af2f9.jpg?v=1776905605&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/prada-saffiano-lux-re-edition-2005-mini-shoulder-bag-celeste-1851348
Chloe,CHLOE Raffia Calfskin Large Woody Basket Bag Black Excellent Est. Retail 13% below retail,950,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/7a749def2979cdd93695101c49b546db_25768790-2be8-4aee-a169-321e272f7ccd.jpg?v=1764849369&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chloe-raffia-calfskin-large-woody-basket-bag-black-1707777
Chanel,CHANEL Shiny Lambskin Quilted Mini Flap White Shows Wear Est. Retail 17% below retail,4555,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/a8fdc18d4f23577260ebaa26bcd006dc.jpg?v=1764846277&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-shiny-lambskin-quilted-mini-flap-white-1767662
Louis Vuitton,LOUIS VUITTON Monogram Pallas Full Black Excellent Est. Retail 33% below retail,1895,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/4672d73bf213704694b6a7f3d89d077e.jpg?v=1775309972&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/louis-vuitton-monogram-pallas-full-black-1845292
Louis Vuitton,LOUIS VUITTON Reverse Monogram Giant Onthego MM Shows Wear Est. Retail 36% below retail,2105,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/506b59dbc3c1401ded222bbac5a4e155.jpg?v=1770390779&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/louis-vuitton-reverse-monogram-giant-onthego-mm-1797037
Hermes,HERMES Taurillon Clemence Picotin Lock 22 MM Ardoise Excellent,4750,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/133fd5e669409265be235143ba50e630.jpg?v=1777470474&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/hermes-taurillon-clemence-picotin-lock-22-mm-ardoise-1866930
Celine,CELINE Grained Calfskin Micro Belt Bag Light Taupe Shows Wear Est. Retail 57% below retail,1220,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/d2ced527549868c44436c1d00fefd7d9_6f3f6b70-a1b1-45ec-8af0-0ec1987bbeeb.jpg?v=1764846619&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/celine-grained-calfskin-micro-belt-bag-light-taupe-1763069
